"Subject","Match","Morality","Identity","Ntrials","corrTrials","ACC","RT"
7012,"nonmatch","Good","Other",60,43,0.716666666666667,695.286046511628
7012,"nonmatch","Good","Self",60,42,0.7,691.719047619048
7013,"match","Bad","Other",60,59,0.983333333333333,589.393220338983
7013,"match","Bad","Self",60,51,0.85,755.766666666667
7013,"match","Good","Other",60,48,0.8,757.616666666667
7013,"match","Good","Self",60,56,0.933333333333333,641.692857142857
7013,"nonmatch","Bad","Other",60,59,0.983333333333333,690.135593220339
7013,"nonmatch","Bad","Self",60,53,0.883333333333333,745.42641509434
7013,"nonmatch","Good","Other",60,51,0.85,761.001960784314
7013,"nonmatch","Good","Self",60,53,0.883333333333333,705.354716981132
7014,"match","Bad","Other",60,57,0.95,652.273684210526
7014,"match","Bad","Self",60,47,0.783333333333333,712.221276595745
7014,"match","Good","Other",60,58,0.966666666666667,586.939655172414
7014,"match","Good","Self",60,59,0.983333333333333,649.127118644068
7014,"nonmatch","Bad","Other",60,52,0.866666666666667,742.390384615385
7014,"nonmatch","Bad","Self",60,56,0.933333333333333,663.692857142857
7014,"nonmatch","Good","Other",60,58,0.966666666666667,669.241379310345
7014,"nonmatch","Good","Self",60,47,0.783333333333333,715.091489361702
7015,"match","Bad","Other",60,50,0.833333333333333,660.954
7015,"match","Bad","Self",59,44,0.745762711864407,718.659090909091
7015,"match","Good","Other",60,44,0.733333333333333,673.822727272727
7015,"match","Good","Self",60,39,0.65,713.912820512821
7015,"nonmatch","Bad","Other",60,30,0.5,731.91
7015,"nonmatch","Bad","Self",60,33,0.55,718.427272727273
7015,"nonmatch","Good","Other",60,36,0.6,725.661111111111
7015,"nonmatch","Good","Self",60,20,0.333333333333333,746.73
7016,"match","Bad","Other",60,42,0.7,782.038095238095
7016,"match","Bad","Self",60,33,0.55,820.545454545455
7016,"match","Good","Other",60,54,0.9,708.477777777778
7016,"match","Good","Self",60,57,0.95,550.521052631579
7016,"nonmatch","Bad","Other",60,29,0.483333333333333,813.11724137931
7016,"nonmatch","Bad","Self",60,25,0.416666666666667,830.728
7016,"nonmatch","Good","Other",60,25,0.416666666666667,839.796
7016,"nonmatch","Good","Self",60,34,0.566666666666667,812.008823529412
7018,"match","Bad","Other",60,55,0.916666666666667,720.985454545455
7018,"match","Bad","Self",60,49,0.816666666666667,758.081632653061
7018,"match","Good","Other",60,60,1,528.98
7018,"match","Good","Self",60,58,0.966666666666667,639.506896551724
7018,"nonmatch","Bad","Other",60,58,0.966666666666667,707.8
7018,"nonmatch","Bad","Self",60,56,0.933333333333333,711.526785714286
7018,"nonmatch","Good","Other",60,54,0.9,691.477777777778
7018,"nonmatch","Good","Self",60,55,0.916666666666667,725
7019,"match","Bad","Other",60,46,0.766666666666667,818.384782608696
7019,"match","Bad","Self",60,48,0.8,753.525
7019,"match","Good","Other",60,53,0.883333333333333,716.096226415094
7019,"match","Good","Self",60,55,0.916666666666667,677.212727272727
7019,"nonmatch","Bad","Other",60,40,0.666666666666667,842.27
