"Subject","Age","Gender","ACC_match_Good_Self","ACC_match_Good_Other","ACC_match_Bad_Self","ACC_match_Bad_Other","ACC_nonmatch_Good_Self","ACC_nonmatch_Good_Other","ACC_nonmatch_Bad_Self","ACC_nonmatch_Bad_Other","d_Good_Self","d_Good_Other","d_Bad_Self","d_Bad_Other","RT_match_Good_Self","RT_match_Good_Other","RT_match_Bad_Self","RT_match_Bad_Other","RT_nonmatch_Good_Self","RT_nonmatch_Good_Other","RT_nonmatch_Bad_Self","RT_nonmatch_Bad_Other"
7022,25,"male",0.633333333333333,0.95,0.366666666666667,0.766666666666667,0.6,0.766666666666667,0.716666666666667,0.75,0.594041930223595,2.37276691783312,0.232272721407668,1.40240304107773,779.584210526316,687.929824561404,931.518181818182,847.952173913043,896.580555555556,838.319565217391,876.546511627907,921.097777777778
7023,21,"female",0.933333333333333,0.716666666666667,0.7,0.616666666666667,0.75,0.8,0.9,0.716666666666667,2.17557569624011,1.41458878206838,1.80595207825264,0.869705386755362,674.676785714286,687.579069767442,764.02619047619,763.056756756757,741.348888888889,747.179166666667,692.631481481482,761.625581395349
7024,21,"male",0.792452830188679,0.636363636363636,0.526315789473684,0.596491228070175,0.448275862068966,0.56140350877193,0.527272727272727,0.389830508474576,0.684942931543245,0.503284270211752,0.134427737076186,-0.0354854269567955,482.22380952381,526.257142857143,570.153333333333,614.970588235294,636.826923076923,568.503125,648.696551724138,570.321739130435
7025,22,"male",0.916666666666667,0.8,0.683333333333333,0.616666666666667,0.733333333333333,0.766666666666667,0.766666666666667,0.883333333333333,2.00591985031073,1.56953452445456,1.20495371937109,1.48855400994129,565.134545454545,682.61875,703.563414634146,681.108108108108,725.743181818182,739.402173913043,736.369565217391,732.532075471698
7026,21,"male",0.633333333333333,1,0.366666666666667,0.633333333333333,0.55,0.5,0.45,0.533333333333333,0.466356173942869,2.39397979981851,-0.46635617394287,0.424346560994924,579.055263157895,473.635,647.040909090909,625.857894736842,715.042424242424,705.023333333333,711.751851851852,713.634375
7028,21,"male",0.966666666666667,0.666666666666667,0.516666666666667,0.75,0.766666666666667,0.65,0.783333333333333,0.766666666666667,2.56182792669756,0.816047765703025,0.825289673206228,1.40240304107773,639.608620689655,800.5425,810.745161290323,762.12,746.65652173913,821.182051282051,784.372340425532,767.278260869565
7029,18,"male",0.716666666666667,0.45,0.55,0.65,0.6,0.45,0.65,0.633333333333333,0.826314651631263,-0.251322693710148,0.510981813262642,0.726015293495363,775.6,794.255555555556,786.175757575758,810.574358974359,842.736111111111,786.851851851852,805.453846153846,849.857894736842
7030,18,"female",0.95,0.933333333333333,0.883333333333333,1,0.783333333333333,0.916666666666667,0.9,0.916666666666667,2.42835400234125,2.88408007314466,2.473367737226,3.77697392691915,672.035087719298,670.494642857143,808.098113207547,624.62,806.936170212766,758.869090909091,787.916666666667,725.92
7031,20,"female",0.833333333333333,0.8,0.75,0.55,0.833333333333333,0.9,0.866666666666667,0.866666666666667,1.9348431322034,2.12317279911752,1.78526136683287,1.23643296349186,693.868,731.347916666667,730.704444444444,809.306060606061,789.17,782.635185185185,709.521153846154,759.717307692308
7032,22,"male",0.983333333333333,0.783333333333333,0.616666666666667,0.85,0.566666666666667,0.583333333333333,0.75,0.716666666666667,2.29593923897309,0.993928769637699,0.97122758845598,1.60940093798925,634.667796610169,751.902127659574,859.427027027027,755.925490196078,818.844117647059,841.854285714286,859.637777777778,827.96511627907
7033,22,"male",0.916666666666667,0.833333333333333,0.266666666666667,0.8,0.6,0.525423728813559,0.65,0.766666666666667,1.63634123023644,1.03119260065933,-0.23760525680252,1.56953452445456,646.703636363636,670.284,825.48125,729.802083333333,753.352777777778,743.174193548387,769.1,723.613043478261
7034,21,"male",0.883333333333333,0.966666666666667,0.85,0.866666666666667,0.566666666666667,0.733333333333333,0.766666666666667,0.8,1.3597101764695,2.456840359026,1.76434668037543,1.9523928502097,598.6,535.301724137931,696.696078431373,699.690384615385,735.817647058824,632.431818181818,668.769565217391,646.991666666667
