"Subject","ACC_Good_Self","ACC_Good_Other","ACC_Bad_Self","ACC_Bad_Other","good_bad_slf","good_bad_oth","slf_oth_good","slf_oth_bad","RT_Good_Self","RT_Good_Other","RT_Bad_Self","RT_Bad_Other"
7019,0.930555555555556,0.868055555555556,0.909722222222222,0.895833333333333,0.0208333333333334,0.0347222222222222,0.0625,0.0138888888888888,571.361194029851,582.7712,587.624427480916,571.981395348837
7020,1,0.958333333333333,0.993055555555556,1,0.00694444444444442,0,0.0416666666666666,-0.00694444444444442,596.802083333333,619.713768115942,587.846853146853,600.005555555556
7022,0.923611111111111,0.944444444444444,0.895833333333333,0.902777777777778,0.0277777777777778,0.0208333333333334,-0.0208333333333333,-0.00694444444444442,598.152631578947,601.144117647059,623.56976744186,663.649230769231
7023,0.916666666666667,0.868055555555556,0.8125,0.944444444444444,0.104166666666667,-0.0277777777777778,0.048611111111111,-0.131944444444444,508.488636363636,513.6176,515.306837606838,524.027205882353
7024,0.636363636363636,0.556390977443609,0.632,0.619834710743802,0.00436363636363635,0.0165289256198347,0.0799726589200274,0.0121652892561983,381.58961038961,416.345945945946,410.349367088608,437.84
7025,0.979166666666667,0.840277777777778,0.854166666666667,0.979166666666667,0.125,0,0.138888888888889,-0.125,500.528368794326,559.559504132231,538.275609756098,498.86524822695
7026,0.833333333333333,0.979166666666667,0.875,0.854166666666667,-0.0416666666666666,-0.0208333333333333,-0.145833333333333,0.0208333333333334,532.17,456.520567375887,525.720634920635,553.884552845528
7028,0.993055555555556,0.840277777777778,0.916666666666667,0.965277777777778,0.076388888888889,0.0277777777777778,0.152777777777778,-0.0486111111111112,548.662937062937,662.652066115702,623.731060606061,596.735251798561
7029,0.930555555555556,0.805555555555556,0.909722222222222,0.895833333333333,0.0208333333333334,0.0347222222222222,0.125,0.0138888888888888,547.391791044776,615.980172413793,602.421374045801,600.654263565891
7030,0.965277777777778,0.972222222222222,0.993055555555556,0.993055555555556,-0.0277777777777778,-0.0277777777777778,-0.00694444444444442,0,501.43309352518,468.03,501.016783216783,502.617482517483
7031,0.902777777777778,0.833333333333333,0.840277777777778,0.9375,0.0625,-0.0347222222222222,0.0694444444444444,-0.0972222222222222,612.464615384615,683.453333333333,609.540495867769,618.244444444444
7032,0.930555555555556,0.79020979020979,0.802816901408451,0.838028169014085,0.127738654147105,0.0925273865414711,0.140345765345765,-0.0352112676056338,464.599253731343,619.910619469027,586.664035087719,584.116806722689
7033,0.965277777777778,0.930555555555556,0.979166666666667,0.986111111111111,-0.0138888888888888,-0.0208333333333334,0.0347222222222222,-0.00694444444444453,547.143884892086,574.441791044776,519.35390070922,456.522535211268
7034,0.958333333333333,0.888888888888889,0.846153846153846,0.951388888888889,0.112179487179487,0.00694444444444453,0.0694444444444445,-0.105235042735043,477.715942028986,426.921875,446.081818181818,475.15401459854
