,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(Other.Good).7335,1.23766780597,0.208633174295,0.822609834656,1.09731285575,1.23543278264,1.38119280124,1.64504517365,0.00338711402329
v_subj(Other.Bad).7336,2.57082192403,0.278011833013,2.01381399124,2.38546549658,2.56968861505,2.75781924296,3.11576696288,0.00361122063005
v_subj(Other.Good).7336,1.82406301181,0.26272468526,1.30666310936,1.64759468771,1.82489788764,2.00173363497,2.34202715373,0.00480525436815
v_subj(Other.Bad).7337,3.37693749438,0.311053268807,2.77217411469,3.16491744563,3.37243430443,3.58544321533,3.99116061587,0.00562633622977
v_subj(Other.Good).7337,1.96992240383,0.258168938179,1.47395320892,1.79327299035,1.96733211253,2.14253534235,2.47914451156,0.00401520698023
v_subj(Other.Bad).7338,2.9251126909,0.273488414127,2.38471415894,2.74039371775,2.92443791831,3.11067476446,3.45844545825,0.00415201524449
v_subj(Other.Good).7338,4.0835665735,0.362984271122,3.38588056285,3.839981195,4.07524320174,4.32636340663,4.81855118283,0.00655305300876
v_subj(Other.Bad).7339,2.48005357428,0.307952961967,1.93449151226,2.26651693118,2.45779583479,2.6750030701,3.14592020772,0.0064419006799
v_subj(Other.Good).7339,1.93406488747,0.239874915904,1.47459287131,1.77408630499,1.92918106338,2.09172515434,2.41561682195,0.00354918732214
v_subj(Other.Bad).7340,1.78497607036,0.244213413543,1.32169525841,1.61487621048,1.78272020952,1.94907837347,2.27371899649,0.00484148539916
v_subj(Other.Good).7340,1.97964941583,0.239645927647,1.5028553625,1.81944725763,1.97941814385,2.13964942657,2.45185783592,0.0033734519329
v_subj(Other.Bad).7341,2.37798132308,0.274721940248,1.82831221004,2.19633059275,2.38032990758,2.55778054696,2.91521883323,0.00373255279776
v_subj(Other.Good).7341,3.36032595955,0.325559960516,2.73833796317,3.13664610124,3.35272301741,3.577791656,4.01975649961,0.00504053170711
v_subj(Other.Bad).7342,1.91130865099,0.274713591667,1.38131277532,1.72599435505,1.91027018488,2.09488311011,2.45983835593,0.00437530321943
v_subj(Other.Good).7342,3.09202312437,0.333895598249,2.45845338266,2.86025366151,3.08870077172,3.31759069195,3.74963007443,0.00722750802563
v_subj(Other.Bad).7343,2.75172472591,0.295730196241,2.16445298135,2.55676818049,2.75506175181,2.94878432781,3.32631201935,0.00484607164177
v_subj(Other.Good).7343,1.53019130475,0.239562801295,1.06492843196,1.36777301059,1.52928402635,1.6933547712,1.99734808924,0.00364770450186
v_subj(Other.Bad).7344,1.88212588382,0.258251757888,1.3815461208,1.70684843409,1.87931772437,2.05413334521,2.40086305482,0.00451800708861
v_subj(Other.Good).7344,2.39033758024,0.261033568365,1.88039526106,2.21232948858,2.38750598626,2.5646778352,2.91072348935,0.00432011779822
v_subj(Other.Bad).7345,2.69069685714,0.264854551293,2.18856457237,2.50946243398,2.68272972449,2.8662139947,3.21851328324,0.00420696320893
v_subj(Other.Good).7345,2.21500350088,0.240270542725,1.75027777215,2.05682799578,2.2116599079,2.37643991068,2.6864683802,0.00351871777423
v_subj(Other.Bad).73370,1.68065547737,0.235076963541,1.21980059346,1.52510887283,1.67928063071,1.8350030563,2.14949937828,0.00390615583035
v_subj(Other.Good).73370,0.394086821409,0.233136423087,-0.0649643882916,0.232667809449,0.395780651473,0.552266530432,0.851360627806,0.00378988596236
v_subj(Self.Bad).7302,2.18346129352,0.332434276453,1.55681448099,1.95623836195,2.17662069156,2.39915114527,2.8717212199,0.00512686745298
v_subj(Self.Good).7302,2.48971695525,0.327386903081,1.86246061561,2.26965142441,2.48222164923,2.70927512766,3.1420419183,0.0046535689922
v_subj(Self.Bad).7303,1.68870378283,0.329858849207,1.05178510348,1.46667450906,1.68693891762,1.90683371125,2.36226725381,0.00499809004201
v_subj(Self.Good).7303,2.75410871955,0.345693654902,2.0840848662,2.519179445,2.75143067863,2.98207858097,3.44820056257,0.00476558056623
v_subj(Self.Bad).7304,2.28627135665,0.279660773382,1.74372951111,2.0942240204,2.28288166132,2.47356128451,2.84126132797,0.0043198676785
v_subj(Self.Good).7304,2.98987346689,0.353830668743,2.40320923406,2.757671996,2.94250128235,3.16857122117,3.86083326248,0.0182554998296
v_subj(Self.Bad).7305,2.16161522747,0.255002861349,1.66221364717,1.99039837476,2.16135733539,2.33046534385,2.67039280479,0.00416216107305
v_subj(Self.Good).7305,2.76878557662,0.275430024882,2.2532143988,2.58243674007,2.76211815782,2.95346943053,3.31828934525,0.00432230571039
v_subj(Self.Bad).7306,2.81468757316,0.275437146603,2.28646051245,2.62822861998,2.80684330281,3.00171107982,3.37073971861,0.00476302834899
v_subj(Self.Good).7306,1.77375489558,0.246555374404,1.31400970355,1.60678194189,1.76652462883,1.93263962592,2.27175352168,0.00730173161801
v_subj(Self.Bad).7307,2.96299150047,0.291691938863,2.39256196941,2.76743322465,2.96191736754,3.15686461441,3.5428165507,0.00438961789242
