"trialNum","subId","Task","Identity","Morality","Pmu","Psigma","Ptau","AIC","BIC"
71,7020,"Val","Self","Bad",0.511362124003455,0.0869871236268323,0.118156498822384,-72.3512756246368,-65.5632359935128
72,7020,"Val","Self","Good",0.525079164037421,0.0510357566058156,0.106252327501332,-113.429060629554,-106.599062272506
72,7020,"Val","Other","Bad",0.479340606459329,0.0440475964992316,0.141723197941014,-91.1300128230996,-84.3000144660514
69,7020,"Val","Other","Good",0.52960566467868,0.0558748253632754,0.11241889301864,-96.6124516022798,-89.910132088488
72,7020,"Id","Self","Bad",0.499673125782448,0.0775958157233972,0.0516316158319517,-126.949287965468,-120.11928960842
72,7020,"Id","Self","Good",0.473565471707199,0.0605803632338443,0.0901721318867566,-118.780131939135,-111.950133582087
72,7020,"Id","Other","Bad",0.49971603963046,0.0639553741544411,0.079086059138069,-127.328332171789,-120.498333814741
69,7020,"Id","Other","Good",0.469451867402872,0.0620704872614347,0.12925529589446,-85.0983321195359,-78.3960126057442
69,7022,"Val","Self","Bad",0.487078252648257,0.0319384981522617,0.133891748296933,-103.150033753216,-96.4477142394246
71,7022,"Val","Self","Good",0.473234720027832,0.0509048368348415,0.0865703032494821,-128.420918909556,-121.632879278432
62,7022,"Val","Other","Bad",0.54472595515417,0.076264039698298,0.111002070484793,-76.682802316434,-70.3013991612987
71,7022,"Val","Other","Good",0.46084943724531,0.0566491028407461,0.0969642346897173,-115.310411996622,-108.522372365498
60,7022,"Id","Self","Bad",0.475243679879895,0.0702256167387744,0.153593887419445,-49.3835878989666,-43.1005542123003
62,7022,"Id","Self","Good",0.495078443625638,0.040925532110729,0.148998363098674,-73.5742141875193,-67.192811032384
68,7022,"Id","Other","Bad",0.533582013659566,0.0669142191561166,0.13832694239581,-70.6752820787305,-64.0167589632022
65,7022,"Id","Other","Good",0.525496066356706,0.0805130958591086,0.124265310255674,-65.1910264992661,-58.6678646895792
69,7023,"Val","Self","Bad",0.370549267530938,0.0501090689837889,0.133980976771844,-96.7095011457417,-90.0071816319499
